seed,wind_level,obstacle_density,planner,n_targets,visited_targets,coverage_ratio,weighted_coverage,safe_weighted_coverage,mission_success,collected_value,total_value,energy_used,planned_policy_budget,final_battery,reserve_margin,reserve_shortfall,mission_time,return_success,battery_violation,path_risk_accumulated,clearance_violation_rate,min_clearance,emergency_abort,actual_gust_multiplier,route,route_node_ids,runtime_seconds
86,severe,cluttered,FairALNSPlanner,32,11,0.34375,0.4188034188034188,0.4188034188034188,True,24.5,58.5,1051.3131053065908,1206.6629458124623,148.6868946934093,68.6868946934093,False,90.29266231909786,True,False,0.0173985867793448,0.0014586634451511,2.8284271247461903,False,3.0,8.000:8.000|84.443:19.099|52.340:18.681|51.328:16.937|78.468:58.254|54.291:41.916|55.896:38.460|56.520:49.741|45.324:58.519|27.894:48.977|39.150:63.750|19.954:45.025|8.000:8.000,0-16-19-26-15-4-13-1-22-7-21-14-0,2.4336986842099577
86,severe,cluttered,RAWA-RHP,32,18,0.5625,0.6495726495726496,0.6495726495726496,True,38.0,58.5,1047.9305681261162,1211.883924196077,152.069431873884,72.06943187388399,False,100.2568753181171,True,False,0.0678275017684988,0.0036477810782842,2.0,False,3.0,8.000:8.000|41.932:11.822|51.328:16.937|55.896:38.460|54.291:41.916|56.520:49.741|78.468:58.254|86.717:62.878|91.128:79.622|90.597:85.429|83.166:88.070|65.357:87.927|47.530:97.149|43.779:95.412|24.249:80.928|30.167:69.453|39.150:63.750|27.894:48.977|19.954:45.025|8.000:8.000,0-20-26-13-4-1-15-30-12-23-25-28-18-2-11-3-21-7-14-0,12.381749885855244
86,moderate,cluttered,NearestNeighbor,32,20,0.625,0.6198347107438017,0.0,False,37.5,60.5,1334.0324714551011,1342.347071587391,-134.03247145510142,-214.03247145510144,True,118.50509284235524,False,True,0.1131951816838594,0.0056302699123947,2.0,True,3.0,8.000:8.000|24.105:29.651|23.270:39.742|37.612:32.754|51.794:31.263|48.979:41.431|57.522:48.009|60.641:47.981|64.668:44.585|55.361:54.322|53.380:55.310|40.888:50.296|31.437:53.835|17.970:66.309|46.331:76.285|48.468:84.708|45.061:91.754|39.554:92.067|37.103:89.269|29.122:95.634|69.044:81.446|8.000:8.000,0-19-6-11-20-31-14-17-21-18-2-13-24-32-27-28-29-26-9-12-22-0,0.0018766249995678
86,moderate,cluttered,ValuePerDistance,32,21,0.65625,0.7024793388429752,0.0,False,42.5,60.5,1310.7558387815743,1323.9241470688266,-110.75583878157408,-190.75583878157408,True,117.10014267258614,False,True,0.1334627642988406,0.0064217320890053,2.0,True,3.0,8.000:8.000|24.105:29.651|23.270:39.742|40.888:50.296|31.437:53.835|17.970:66.309|29.122:95.634|37.103:89.269|39.554:92.067|45.061:91.754|48.468:84.708|46.331:76.285|53.380:55.310|55.361:54.322|57.522:48.009|60.641:47.981|64.668:44.585|75.712:38.114|76.071:40.271|90.835:40.676|74.810:18.310|83.944:22.841|8.000:8.000,0-19-6-13-24-32-12-9-26-29-28-27-2-18-14-17-21-4-25-30-8-7-0,0.001421574037522
86,moderate,cluttered,WindAwareGreedy,32,17,0.53125,0.6033057851239669,0.0,False,36.5,60.5,1312.057215287836,1310.9643212571823,-112.05721528783616,-192.05721528783616,True,119.2845687867619,False,True,0.2283580732154191,0.0141241761014494,2.0,True,3.0,8.000:8.000|24.105:29.651|33.247:17.345|74.810:18.310|64.502:25.866|57.522:48.009|40.888:50.296|31.437:53.835|23.270:39.742|37.612:32.754|51.794:31.263|75.712:38.114|64.668:44.585|60.641:47.981|53.380:55.310|55.361:54.322|37.103:89.269|29.122:95.634|8.000:8.000,0-19-16-8-10-14-13-24-6-11-20-4-21-17-2-18-9-12-0,0.0013880289625376
86,moderate,cluttered,ReserveOnlyPlanner,32,14,0.4375,0.4628099173553719,0.4628099173553719,True,28.0,60.5,1044.4327231837974,1080.5014578253777,155.56727681620237,75.56727681620237,False,87.67191166479728,True,False,0.1533073014068897,0.0108967091740122,2.0,False,3.0,8.000:8.000|24.105:29.651|33.247:17.345|37.612:32.754|40.888:50.296|31.437:53.835|23.270:39.742|57.522:48.009|60.641:47.981|64.668:44.585|75.712:38.114|74.810:18.310|64.502:25.866|51.794:31.263|48.979:41.431|8.000:8.000,0-19-16-11-13-24-6-14-17-21-4-8-10-20-31-0,0.0012943649198859
86,moderate,cluttered,FairRiskAwareGreedy,32,16,0.5,0.4876033057851239,0.4876033057851239,True,29.5,60.5,1074.3931450468372,1118.9341218330403,125.60685495316278,45.60685495316278,False,121.04711776050829,True,False,0.0060971790303783,0.000358796299487,2.0,False,3.0,8.000:8.000|24.105:29.651|40.888:50.296|33.247:17.345|74.810:18.310|83.944:22.841|64.668:44.585|60.641:47.981|53.380:55.310|64.502:25.866|51.794:31.263|37.612:32.754|55.361:54.322|68.412:64.851|76.541:67.279|88.436:63.545|48.979:41.431|8.000:8.000,0-19-13-16-8-7-21-17-2-10-20-11-18-1-5-3-31-0,0.0019982359372079
86,moderate,cluttered,FairALNSPlanner,32,13,0.40625,0.4132231404958678,0.4132231404958678,True,25.0,60.5,828.2383984095218,939.8511865391348,371.761601590478,291.761601590478,False,93.82127879102283,True,False,0.0421489821686272,0.0030390970126757,2.0,False,3.0,8.000:8.000|33.247:17.345|64.502:25.866|51.794:31.263|64.668:44.585|68.412:64.851|76.541:67.279|88.436:63.545|94.643:72.437|96.493:67.536|90.835:40.676|74.810:18.310|83.944:22.841|75.712:38.114|8.000:8.000,0-16-10-20-21-1-5-3-15-23-30-8-7-4-0,12.614901141962036
86,moderate,cluttered,RAWA-RHP,32,25,0.78125,0.8264462809917356,0.8264462809917356,True,50.0,60.5,1042.0783747245744,1182.4349059053206,157.92162527542575,77.92162527542575,False,131.98969953207842,True,False,0.0562130727182784,0.002208008204026,2.0,False,3.0,8.000:8.000|33.247:17.345|74.810:18.310|83.944:22.841|75.712:38.114|76.071:40.271|90.835:40.676|96.493:67.536|94.643:72.437|88.436:63.545|76.541:67.279|68.412:64.851|64.668:44.585|60.641:47.981|57.522:48.009|55.361:54.322|53.380:55.310|48.468:84.708|45.061:91.754|39.554:92.067|29.122:95.634|37.103:89.269|31.437:53.835|40.888:50.296|37.612:32.754|24.105:29.651|8.000:8.000,0-16-8-7-4-25-30-23-15-3-5-1-21-17-14-18-2-28-29-26-12-9-24-13-11-19-0,86.60727337491699
86,severe,sparse,NearestNeighbor,32,20,0.625,0.6194029850746269,0.0,False,41.5,67.0,2225.29750248663,2121.036609518351,-1025.2975024866298,-1105.2975024866298,True,110.33538576732828,False,True,0.1605404965080938,0.0081874713139005,2.0,True,3.0,8.000:8.000|16.800:20.005|11.711:23.943|17.633:31.182|15.540:34.269|22.935:33.674|32.096:26.548|22.983:14.642|44.735:34.264|41.990:35.808|48.795:42.201|50.942:40.762|59.093:36.428|65.843:41.460|81.707:39.393|82.309:44.412|80.220:52.925|84.318:73.573|80.000:80.674|72.554:80.581|86.737:91.768|8.000:8.000,0-4-18-24-13-22-6-31-10-19-26-2-23-21-20-29-12-9-17-5-27-0,0.0018209919799119
86,severe,sparse,ValuePerDistance,32,17,0.53125,0.582089552238806,0.0,False,39.0,67.0,2054.8516912548057,2017.579954640345,-854.8516912548064,-934.8516912548064,True,99.39994613665894,False,True,0.3880650587549685,0.0263672577449691,2.0,True,3.0,8.000:8.000|16.800:20.005|11.711:23.943|17.633:31.182|22.935:33.674|32.096:26.548|41.990:35.808|44.735:34.264|50.942:40.762|48.795:42.201|59.093:36.428|65.843:41.460|82.309:44.412|81.707:39.393|89.765:35.180|80.220:52.925|91.806:84.574|93.257:77.716|8.000:8.000,0-4-18-24-22-6-19-10-2-26-23-21-29-20-14-12-8-16-0,0.0012471741065382
